End of Period,Loan Number,Region,Country Code,Country,Borrower,Guarantor Country Code,Guarantor,Loan Type,Loan Status,Interest Rate,Currency of Commitment,Project ID,Project Name,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IBRD,Due to IBRD,Exchange Adjustment,Borrower's Obligation,Sold 3rd Party,Repaid 3rd Party,Due 3rd Party,Loans Held,First Repayment Date,Last Repayment Date,Agreement Signing Date,Board Approval Date,Effective Date (Most Recent),Closed Date (Most Recent),Last Disbursement Date
12/31/2016,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,USD,P037383,RECONSTRUCTION,$250000000.00,$0.00,$0.00,$250000000.00,$38000.00,$0.00,$0.00,$0.00,$249962000.00,$249962000.00,$0.00,$0.00,11/01/1952,05/01/1977,05/09/1947,05/09/1947,06/09/1947,12/31/1947,
12/31/2016,IBRD00020,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,4.25,USD,P037452,RECONSTRUCTION,$191044211.80,$0.00,$0.00,$191044211.80,$103372211.80,$0.00,$0.00,$0.00,$87672000.00,$87672000.00,$0.00,$0.00,04/01/1952,10/01/1972,08/07/1947,08/07/1947,09/11/1947,03/31/1948,
12/31/2016,IBRD00021,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,4.25,USD,P037452,RECONSTRUCTION,$3955788.25,$0.00,$0.00,$3955788.25,$0.00,$0.00,$0.00,$0.00,$3955788.25,$3955788.25,$0.00,$0.00,04/01/1953,04/01/1954,05/25/1948,08/07/1947,06/01/1948,06/30/1948,
12/31/2016,IBRD00030,EUROPE AND CENTRAL ASIA,DK,Denmark,,,,NPL,Fully Repaid,4.25,USD,P037362,RECONSTRUCTION,$40000000.00,$0.00,$0.00,$40000000.00,$17771000.00,$0.00,$0.00,$0.00,$22229000.00,$22229000.00,$0.00,$0.00,02/01/1953,08/01/1972,08/22/1947,08/22/1947,10/17/1947,03/31/1949,
12/31/2016,IBRD00040,EUROPE AND CENTRAL ASIA,LU,Luxembourg,,,,NPL,Fully Repaid,4.25,USD,P037451,RECONSTRUCTION,$12000000.00,$0.00,$0.00,$11761983.02,$1619983.02,$-0.00,$0.00,$0.00,$10142000.00,$10142000.00,$0.00,$-0.00,07/15/1949,07/15/1972,08/28/1947,08/28/1947,10/24/1947,03/31/1949,
12/31/2016,IBRD00050,LATIN AMERICA AND CARIBBEAN,CL,Chile,Ministry of Finance,CL,Chile,NPL,Fully Repaid,4.5,USD,P006578,POWER,$13500000.00,$0.00,$0.00,$13500000.00,$12167000.00,$0.00,$0.00,$0.00,$1333000.00,$1333000.00,$0.00,$0.00,07/01/1953,07/01/1968,03/25/1948,03/25/1948,04/07/1949,12/31/1954,
12/31/2016,IBRD00060,LATIN AMERICA AND CARIBBEAN,CL,Chile,Ministry of Finance,CL,Chile,NPL,Fully Repaid,3.75,USD,P006577,FOMENTO AGRIC CREDIT,$2500000.00,$0.00,$0.00,$2500000.00,$755000.00,$0.00,$0.00,$0.00,$1745000.00,$1745000.00,$0.00,$0.00,07/01/1950,01/01/1955,03/25/1948,03/25/1948,04/07/1949,01/01/1950,
12/31/2016,IBRD00070,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.5625,USD,P037453,SHIPPING I,$2000000.00,$0.00,$0.00,$2000000.00,$0.00,$0.00,$0.00,$0.00,$2000000.00,$2000000.00,$0.00,$0.00,01/15/1949,07/15/1958,07/15/1948,05/21/1948,08/03/1948,08/03/1948,
12/31/2016,IBRD00071,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.5625,USD,P037453,SHIPPING I,$2000000.00,$0.00,$0.00,$2000000.00,$0.00,$0.00,$0.00,$0.00,$2000000.00,$2000000.00,$0.00,$0.00,01/15/1949,07/15/1958,07/15/1948,05/21/1948,08/03/1948,08/03/1948,
12/31/2016,IBRD00080,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.5625,USD,P037454,SHIPPING II,$2000000.00,$0.00,$0.00,$2000000.00,$0.00,$0.00,$0.00,$0.00,$2000000.00,$2000000.00,$0.00,$0.00,01/15/1949,07/15/1958,07/15/1948,05/21/1948,08/03/1948,08/03/1948,
